🇨🇳｜疯子频道,#genre#
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/ipanda1000_2/index.m3u8
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao01_2/index.m3u8
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/xiongmao03_2/index.m3u8
音乐欣赏1,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAguOaa4gUo_J_z6gI.mp4
音乐欣赏2,https://vd3.bdstatic.com/mda-pd369avvets19gch/sc/cae_h264/1680582897997490362/mda-pd369avvets19gch.mp4
美食李子柒,http://lxajh.top/tv/douyu.php?id=2901080
小莉帮忙,http://media2.hndt.com/data_01/1/3/2023/01/15/1f2b16f5ca922e4f442d54b7ea6c9643.mp4
海峡两岸,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8
歌华导视,https://live.goodiptv.club/api/ghyx.php?id=GeHuadaoshiHD_6000


🇨🇳｜历年春晚,#genre#	
春晚1983,https://vd2.bdstatic.com/mda-nmgf0aiczefpbjyv/360p/h264/1671273368681637465/mda-nmgf0aiczefpbjyv.mp4	
春晚1984,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4	
春晚1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp4	
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
春晚1989,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.mp4	
春晚1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
春晚1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
春晚2000,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8
春晚2002,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8
春晚2004,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8
春晚2005,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8
春晚2006,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8
春晚2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8
春晚2008,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4	
春晚2022,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4	
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
春晚2020,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4	


🇨🇳｜央视频道,#genre#
CCTV1,https://cntv.sbs/tv?auth=2310201855&id=cctv1
CCTV2,https://cntv.sbs/tv?auth=2310201855&id=cctv2
CCTV3,https://cntv.sbs/tv?auth=2310201855&id=cctv3
CCTV4,https://cntv.sbs/tv?auth=2310201855&id=cctv4
CCTV5,https://cntv.sbs/tv?auth=2310201855&id=cctv5
CCTV5+,https://cntv.sbs/tv?auth=2310201855&id=cctv5p
CCTV6,https://cntv.sbs/tv?auth=2310201855&id=cctv6
CCTV7,https://cntv.sbs/tv?auth=2310201855&id=cctv7
CCTV8,https://cntv.sbs/tv?auth=2310201855&id=cctv8
CCTV9,https://cntv.sbs/tv?auth=2310201855&id=cctv9
CCTV10,https://cntv.sbs/tv?auth=2310201855&id=cctv10
CCTV11,https://cntv.sbs/tv?auth=2310201855&id=cctv11
CCTV12,https://cntv.sbs/tv?auth=2310201855&id=cctv12
CCTV13,https://cntv.sbs/tv?auth=2310201855&id=cctv13
CCTV14,https://cntv.sbs/tv?auth=2310201855&id=cctv14
CCTV15,https://cntv.sbs/tv?auth=2310201855&id=cctv15
CCTV16,https://cntv.sbs/tv?auth=2310201855&id=cctv16
CCTV16-4K,https://cntv.sbs/tv?auth=2310201855&id=cctv164k
CCTV17,https://cntv.sbs/tv?auth=2310201855&id=cctv17
CCTV4K,https://cntv.sbs/tv?auth=2310201855&id=cctv4k

CCTV1,https://live.metshop.top/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://live.metshop.top/bestv.php?id=cctv2hd8m/8000000
CCTV3,https://live.metshop.top/bestv.php?id=cctv38m/8000000
CCTV4,https://live.metshop.top/bestv.php?id=cctv4hd8m/8000000
CCTV5,https://live.metshop.top/bestv.php?id=cctv58m/8000000
CCTV5+,https://live.metshop.top/bestv.php?id=cctv5phd8m/8000000
CCTV6,https://live.metshop.top/bestv.php?id=cctv6hd8m/8000000
CCTV7,https://live.metshop.top/bestv.php?id=cctv7hd8m/8000000
CCTV8,https://live.metshop.top/bestv.php?id=cctv8hd8m/8000000
CCTV9,https://live.metshop.top/bestv.php?id=cctv9hd8m/8000000
CCTV10,https://live.metshop.top/bestv.php?id=cctv10hd8m/8000000
CCTV11,https://live.metshop.top/bestv.php?id=cctv11hd8m/8000000
CCTV12,https://live.metshop.top/bestv.php?id=cctv12hd8m/8000000
CCTV13,https://live.metshop.top/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,https://live.metshop.top/bestv.php?id=cctvsehd8m/8000000
CCTV15,https://live.metshop.top/bestv.php?id=cctv15hd8m/8000000
CCTV16,https://live.metshop.top/bestv.php?id=cctv16hd8m/8000000
